"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","CSW%","playerid"
"Jose Ramirez","CLE","27.5%","65.7%","42.9%","76.5%","93.2%","86.8%","40.4%","51.1%","5.6%","17.6%","23.3%","13510"
"Mike Yastrzemski","SFG","27.5%","68.7%","45.6%","63.9%","84.5%","77.6%","43.9%","58.3%","10.2%","16.5%","26.8%","14854"
"Gleyber Torres","NYY","27.5%","73.3%","46.7%","63.3%","82.8%","76.1%","41.9%","57.4%","11.2%","15.3%","26.4%","16997"
"Brandon Woodruff","MIL","27.5%","57.1%","43.0%","46.7%","69.1%","62.2%","52.2%","56.9%","16.2%","24.6%","40.8%","16162"
"Estevan Florial","NYY","27.5%","73.2%","44.5%","52.6%","76.7%","67.3%","37.3%","52.0%","14.5%","12.7%","27.3%","19151"
"Luis Arraez","MIN","27.6%","62.4%","43.2%","84.6%","93.5%","90.4%","45.1%","63.3%","4.2%","19.3%","23.4%","18568"
"Michael Conforto","NYM","27.6%","68.7%","44.2%","69.2%","83.5%","78.2%","40.6%","59.5%","9.6%","16.3%","26.0%","16376"
"Tony Wolters","CHC","27.6%","44.9%","34.4%","57.1%","77.3%","67.4%","39.2%","43.3%","11.2%","24.0%","35.2%","11470"
"Enrique Hernandez","BOS","27.6%","68.9%","44.6%","60.2%","87.8%","77.7%","41.1%","58.5%","9.9%","16.5%","26.4%","10472"
"Akil Baddoo","DET","27.7%","70.4%","45.9%","59.4%","78.6%","72.0%","42.7%","57.9%","12.9%","14.9%","27.8%","22168"
"Ka'ai Tom","- - -","27.7%","68.0%","45.4%","49.4%","79.3%","69.1%","44.0%","61.7%","14.1%","17.2%","31.2%","18136"
"Kyle Garlick","MIN","27.7%","69.2%","46.4%","51.5%","83.0%","72.6%","45.0%","50.5%","12.7%","16.9%","29.6%","18063"
"Justin Upton","LAA","27.7%","68.9%","44.9%","56.1%","79.8%","71.3%","41.6%","57.7%","12.9%","16.9%","29.8%","5222"
"Brock Holt","TEX","27.8%","62.9%","42.4%","72.3%","88.1%","82.0%","41.6%","56.2%","7.6%","20.7%","28.3%","9345"
"Mark Payton","CIN","27.8%","67.6%","44.0%","53.3%","80.0%","70.0%","40.7%","62.5%","13.2%","17.6%","30.8%","16042"
"Jesse Winker","CIN","27.8%","69.7%","44.9%","73.2%","87.5%","82.2%","40.6%","58.1%","8.0%","15.3%","23.2%","13590"
"Trevor Larnach","MIN","27.8%","66.9%","43.8%","38.2%","77.7%","62.9%","41.0%","55.8%","16.3%","18.1%","34.4%","21501"
"Chadwick Tromp","SFG","27.9%","70.6%","46.8%","75.0%","79.2%","77.8%","44.2%","44.4%","10.4%","16.9%","27.3%","16953"
"Chance Sisco","- - -","28.0%","73.0%","49.1%","63.8%","74.1%","71.0%","46.8%","65.1%","14.2%","15.2%","29.4%","15694"
"David Price","LAD","28.0%","80.0%","54.0%","57.1%","85.0%","77.8%","50.0%","55.6%","12.0%","12.0%","24.0%","3184"
"Justin Turner","LAD","28.0%","68.4%","44.5%","74.1%","89.8%","84.0%","40.8%","55.4%","7.1%","16.8%","23.9%","5235"
"Steven Souza Jr.","LAD","28.0%","61.5%","42.9%","47.8%","97.5%","79.4%","44.2%","61.1%","8.8%","21.1%","29.9%","5667"
"Freddy Peralta","MIL","28.0%","48.2%","38.2%","52.2%","55.0%","54.0%","50.3%","68.9%","17.6%","28.5%","46.1%","18679"
"Jose Lobaton","CHC","28.1%","84.0%","52.6%","22.2%","71.4%","56.7%","43.9%","76.9%","22.8%","12.3%","35.1%","4243"
"Jordy Mercer","WSN","28.1%","60.9%","42.6%","56.5%","92.4%","79.1%","44.1%","54.3%","8.9%","21.5%","30.4%","6547"
"Paul Goldschmidt","STL","28.1%","66.1%","44.2%","71.6%","81.1%","77.6%","42.3%","57.1%","9.9%","18.6%","28.5%","9218"
"Yoshi Tsutsugo","- - -","28.2%","67.7%","45.2%","64.0%","80.8%","74.8%","43.1%","59.2%","11.4%","17.4%","28.8%","27459"
"Brad Miller","PHI","28.2%","69.2%","45.8%","56.9%","79.0%","71.2%","42.8%","59.4%","13.2%","16.2%","29.4%","12775"
"Chas McCormick","HOU","28.2%","69.4%","46.4%","50.5%","73.9%","65.9%","44.2%","57.5%","15.8%","17.8%","33.6%","19599"
"Nicky Lopez","KCR","28.2%","64.3%","44.4%","75.0%","92.8%","86.5%","44.7%","61.9%","6.0%","19.1%","25.1%","19339"
"Isan Diaz","MIA","28.2%","64.3%","43.6%","46.6%","82.5%","69.1%","42.4%","57.8%","13.5%","17.8%","31.2%","17922"
"Kwang-hyun Kim","STL","28.3%","52.6%","41.7%","84.6%","86.7%","86.0%","55.3%","65.5%","5.8%","25.2%","31.1%","27458"
"Matt Olson","OAK","28.3%","73.8%","46.9%","68.5%","84.1%","78.6%","40.9%","53.9%","10.1%","13.4%","23.5%","14344"
"Vladimir Guerrero Jr.","TOR","28.3%","76.1%","47.3%","55.8%","84.0%","73.9%","39.7%","62.8%","12.4%","12.7%","25.0%","19611"
"Rafael Ortega","CHC","28.3%","67.5%","44.2%","64.0%","90.7%","80.5%","40.5%","56.7%","8.6%","17.4%","26.0%","10323"
"Victor Robles","WSN","28.3%","70.1%","46.5%","58.5%","85.3%","76.1%","43.6%","62.3%","11.1%","15.8%","26.9%","18363"
"Alejandro Kirk","TOR","28.4%","65.4%","44.8%","74.6%","86.2%","82.1%","44.4%","64.6%","8.0%","19.8%","27.8%","22581"
"Danny Jansen","TOR","28.4%","74.6%","48.7%","68.0%","80.3%","76.3%","44.0%","62.9%","11.6%","13.8%","25.3%","16535"
"Danny Mendick","CHW","28.4%","60.3%","42.4%","69.4%","84.7%","78.9%","44.0%","57.5%","8.9%","19.7%","28.6%","18889"
"Daz Cameron","DET","28.4%","66.5%","44.3%","57.8%","79.1%","71.2%","41.7%","54.8%","12.9%","16.5%","29.4%","18353"
"Bryan Reynolds","PIT","28.4%","78.2%","48.8%","58.7%","87.8%","77.8%","40.9%","56.8%","10.8%","12.3%","23.1%","19326"
"Corbin Burnes","MIL","28.4%","45.4%","37.7%","67.7%","83.1%","77.8%","54.4%","64.4%","8.4%","31.8%","40.2%","19361"
"Manny Pina","MIL","28.5%","63.9%","42.9%","56.3%","90.9%","77.3%","40.8%","62.0%","9.7%","18.5%","28.2%","2829"
"Jonathan Lucroy","- - -","28.6%","43.9%","36.1%","58.3%","94.4%","80.0%","49.4%","65.2%","7.2%","28.9%","36.1%","7870"
"Kyle Freeland","COL","28.6%","62.1%","46.7%","37.5%","68.3%","59.6%","54.1%","82.5%","18.9%","22.1%","41.0%","16256"
"Mitch White","LAD","28.6%","42.4%","36.1%","12.5%","57.1%","40.9%","54.1%","81.3%","21.3%","34.4%","55.7%","19225"
"Pavin Smith","ARI","28.7%","59.3%","42.1%","70.4%","92.2%","83.9%","43.9%","61.3%","6.8%","21.4%","28.2%","19892"
"Gary Sanchez","NYY","28.7%","65.7%","44.1%","63.0%","79.1%","73.0%","41.8%","53.4%","11.9%","18.4%","30.4%","11442"
"Michael Brantley","HOU","28.7%","67.2%","45.5%","83.1%","93.8%","90.0%","43.7%","63.2%","4.6%","19.1%","23.7%","4106"
"Randy Arozarena","TBR","28.8%","67.5%","44.0%","58.8%","76.0%","69.2%","39.4%","57.9%","13.6%","17.1%","30.7%","19290"
"Shed Long Jr.","SEA","28.8%","70.8%","46.5%","57.8%","81.8%","73.2%","42.1%","62.8%","12.5%","16.7%","29.2%","16542"
"Vince Velasquez","- - -","28.8%","69.0%","46.8%","53.3%","86.2%","75.0%","44.7%","80.0%","11.7%","20.2%","31.9%","11189"
"Grayson Greiner","DET","28.9%","67.1%","44.8%","41.4%","72.9%","61.0%","41.6%","53.7%","17.4%","16.9%","34.3%","17062"
"Kevin Gausman","SFG","28.9%","49.6%","38.9%","40.0%","80.4%","64.8%","48.3%","72.6%","13.7%","24.4%","38.0%","14107"
"Evan White","SEA","28.9%","72.4%","48.2%","59.1%","82.4%","74.6%","44.3%","67.3%","12.2%","16.9%","29.1%","20078"
"Mitch Moreland","OAK","29.0%","72.9%","47.7%","50.0%","83.3%","71.7%","42.6%","56.7%","13.5%","15.1%","28.6%","3086"
"Austin Meadows","TBR","29.0%","71.5%","46.7%","60.8%","86.5%","77.2%","41.6%","58.7%","10.7%","15.2%","25.9%","15672"
"Cesar Hernandez","- - -","29.0%","68.9%","46.3%","64.6%","88.7%","80.1%","43.4%","61.2%","9.2%","16.1%","25.3%","10556"
"Ryan McMahon","COL","29.1%","74.4%","48.8%","58.9%","80.3%","73.1%","43.5%","65.1%","13.1%","13.5%","26.6%","15112"
"Luke Williams","PHI","29.1%","66.5%","45.3%","69.1%","94.1%","85.0%","43.3%","53.7%","6.8%","17.9%","24.7%","19931"
"Dansby Swanson","ATL","29.1%","74.0%","48.1%","57.2%","81.0%","72.7%","42.3%","61.4%","13.1%","15.0%","28.1%","18314"
"Jason Martin","TEX","29.1%","73.0%","49.2%","58.3%","79.3%","72.6%","45.7%","58.4%","13.5%","16.0%","29.4%","16429"
"Luis Urias","MIL","29.1%","69.4%","46.1%","71.6%","85.0%","80.1%","42.1%","60.2%","9.2%","16.9%","26.1%","16622"
"Anthony DeSclafani","SFG","29.2%","47.3%","37.9%","45.7%","75.5%","63.6%","48.3%","69.4%","13.8%","28.0%","41.8%","13050"
"Taylor Ward","LAA","29.2%","68.6%","47.0%","59.3%","84.9%","76.2%","45.2%","64.6%","11.2%","17.6%","28.8%","17548"
"Willie Calhoun","TEX","29.3%","65.6%","44.3%","78.9%","89.9%","85.7%","41.5%","60.2%","6.4%","18.0%","24.4%","17838"
"Matt Vierling","PHI","29.3%","63.2%","44.7%","62.5%","88.4%","79.1%","45.3%","66.2%","9.3%","21.3%","30.7%","21558"
"Josiah Gray","- - -","29.3%","57.9%","43.0%","33.3%","63.6%","52.9%","48.1%","70.8%","20.3%","25.3%","45.6%","24580"
"Khris Davis","- - -","29.3%","83.3%","52.3%","57.9%","73.1%","68.2%","42.6%","56.1%","16.6%","11.8%","28.4%","9112"
"Eli White","TEX","29.4%","73.5%","48.5%","54.7%","80.7%","71.8%","43.5%","62.3%","13.7%","15.8%","29.5%","19346"
"Charlie Blackmon","COL","29.4%","69.5%","47.1%","68.4%","88.2%","81.3%","44.2%","61.2%","8.8%","16.2%","25.0%","7859"
"Matt Moore","PHI","29.4%","44.7%","38.3%","50.0%","76.2%","67.7%","58.0%","70.0%","12.3%","33.3%","45.7%","1890"
"Merrill Kelly","ARI","29.4%","40.6%","35.1%","33.3%","76.7%","58.9%","51.0%","65.5%","14.4%","27.4%","41.8%","11156"
"Erick Fedde","WSN","29.4%","55.7%","42.1%","72.0%","81.8%","78.3%","48.2%","81.4%","9.1%","23.8%","32.9%","17425"
"Miguel Sano","MIN","29.4%","68.5%","44.6%","43.0%","80.1%","65.2%","38.9%","60.7%","15.5%","15.8%","31.3%","12164"
"Bryce Harper","PHI","29.4%","74.5%","47.2%","54.2%","78.9%","69.5%","39.4%","55.3%","14.4%","11.9%","26.3%","11579"
"Wil Myers","SDP","29.5%","69.1%","45.9%","58.5%","77.0%","70.1%","41.4%","65.4%","13.7%","17.8%","31.5%","10047"
"Travis Shaw","- - -","29.5%","68.9%","46.2%","65.2%","82.7%","76.2%","42.4%","54.0%","11.0%","16.0%","27.0%","11982"
"Todd Frazier","PIT","29.5%","69.2%","45.6%","71.4%","91.1%","83.6%","40.6%","52.5%","7.5%","15.6%","23.1%","785"
"J.D. Davis","NYM","29.5%","79.0%","50.1%","46.4%","68.9%","61.2%","41.7%","61.6%","19.4%","11.0%","30.4%","16219"
"Seth Brown","OAK","29.5%","66.9%","44.8%","48.6%","82.0%","69.0%","41.0%","57.7%","13.9%","16.4%","30.3%","18171"
"Guillermo Heredia","ATL","29.5%","77.0%","48.8%","51.9%","88.1%","75.2%","40.7%","59.7%","12.1%","12.4%","24.5%","18721"
"Max Scherzer","- - -","29.5%","58.9%","44.3%","61.1%","68.5%","66.1%","50.4%","61.9%","15.0%","21.1%","36.2%","3137"
"Kyle Gibson","- - -","29.5%","58.8%","45.3%","46.2%","90.0%","76.7%","53.7%","56.7%","10.5%","24.2%","34.7%","10123"
"Miguel Rojas","MIA","29.5%","67.6%","45.6%","67.2%","90.7%","81.9%","42.3%","57.0%","8.2%","17.2%","25.4%","7802"
"Phillip Evans","PIT","29.6%","68.6%","44.7%","61.9%","88.3%","77.6%","38.8%","58.3%","10.0%","16.9%","26.9%","12950"
"Chad Pinder","OAK","29.6%","74.0%","49.0%","62.9%","80.9%","74.8%","43.7%","59.2%","12.4%","14.2%","26.6%","15191"
"Wilmer Flores","SFG","29.6%","70.2%","46.0%","76.1%","90.2%","84.8%","40.4%","65.4%","7.0%","17.9%","24.9%","5827"
"Franmil Reyes","CLE","29.7%","70.0%","45.3%","54.6%","78.0%","68.6%","38.8%","54.9%","14.2%","15.5%","29.7%","14566"
"Aristides Aquino","CIN","29.7%","68.7%","45.1%","43.0%","76.3%","63.1%","39.5%","59.8%","16.6%","15.6%","32.2%","15482"
"Tres Barrera","WSN","29.7%","73.9%","49.6%","57.4%","89.2%","78.7%","45.1%","67.3%","10.6%","14.6%","25.2%","19977"
"Ke'Bryan Hayes","PIT","29.7%","62.5%","43.5%","63.3%","91.8%","80.5%","42.0%","62.1%","8.5%","19.8%","28.3%","18577"
"Freddie Freeman","ATL","29.7%","80.7%","51.1%","74.1%","84.4%","80.9%","42.0%","57.3%","9.7%","10.6%","20.4%","5361"
"Victor Caratini","SDP","29.7%","66.1%","44.8%","56.6%","88.9%","76.4%","41.5%","56.5%","10.6%","17.3%","27.9%","14968"
"Alex Verdugo","BOS","29.7%","64.4%","44.7%","72.2%","90.7%","83.7%","43.2%","56.6%","7.3%","19.2%","26.4%","17027"
"Nick Fortes","MIA","29.7%","59.3%","42.9%","63.6%","94.3%","82.5%","44.4%","67.6%","7.5%","21.8%","29.3%","21538"
"Yuli Gurriel","HOU","29.8%","62.2%","42.8%","81.9%","92.5%","88.1%","40.1%","59.7%","5.1%","18.6%","23.7%","19198"
"Santiago Espinal","TOR","29.8%","68.1%","46.8%","72.8%","92.4%","85.5%","44.4%","59.8%","6.8%","16.3%","23.1%","19997"
"Rhys Hoskins","PHI","29.8%","64.3%","44.4%","62.8%","83.2%","75.3%","42.2%","59.8%","11.0%","17.5%","28.5%","16472"
"Marcell Ozuna","ATL","29.8%","75.3%","48.5%","63.9%","80.4%","74.5%","41.2%","60.6%","12.4%","14.6%","27.0%","10324"
"Jake Bauers","- - -","29.8%","69.0%","47.4%","57.7%","86.2%","76.3%","44.8%","60.0%","11.2%","16.9%","28.1%","15194"
"Adam Frazier","- - -","29.8%","69.5%","47.6%","80.2%","93.3%","88.7%","44.7%","62.4%","5.4%","17.0%","22.4%","15223"
"Emmanuel Rivera","KCR","29.8%","74.6%","47.0%","54.4%","90.6%","76.4%","38.4%","52.0%","11.1%","15.9%","27.0%","19890"
"Leody Taveras","TEX","29.8%","68.5%","47.7%","66.7%","79.5%","75.1%","46.1%","70.8%","11.8%","16.4%","28.2%","18900"
"Francisco Lindor","NYM","29.9%","72.2%","47.1%","64.1%","85.6%","77.5%","40.5%","58.0%","10.6%","14.0%","24.6%","12916"
"Thairo Estrada","SFG","30.0%","68.2%","46.1%","68.5%","91.2%","82.7%","42.2%","57.6%","8.0%","15.2%","23.2%","16426"
"Kevin Plawecki","BOS","30.0%","67.3%","46.3%","76.2%","90.2%","85.1%","43.7%","63.0%","6.9%","18.3%","25.2%","13807"
"Scott Heineman","CIN","30.0%","66.1%","43.8%","29.6%","78.4%","57.8%","38.4%","55.9%","18.5%","17.8%","36.3%","14453"
"Joey Lucchesi","NYM","30.0%","37.5%","34.1%","50.0%","33.3%","40.0%","54.5%","81.8%","20.5%","34.1%","54.5%","19320"
"Cedric Mullins II","BAL","30.0%","64.5%","45.1%","71.7%","87.8%","81.7%","43.6%","59.1%","8.2%","17.3%","25.5%","17929"
"Gilberto Celestino","MIN","30.1%","66.7%","46.0%","72.5%","85.3%","80.6%","43.4%","66.1%","8.9%","19.6%","28.5%","20233"
"Jay Bruce","NYY","30.1%","71.2%","48.2%","57.1%","75.0%","68.8%","44.0%","61.5%","15.1%","15.1%","30.1%","9892"
"Andrew Velazquez","NYY","30.1%","74.4%","49.8%","52.3%","77.0%","68.7%","44.5%","70.6%","15.6%","14.8%","30.4%","14196"
"Kyle Higashioka","NYY","30.1%","71.4%","46.6%","49.3%","84.1%","70.5%","39.8%","63.5%","13.7%","17.2%","30.9%","5517"
"Shohei Ohtani","LAA","30.1%","72.0%","45.8%","52.8%","77.3%","67.2%","37.4%","57.1%","15.0%","14.4%","29.4%","19755"
"Yordan Alvarez","HOU","30.3%","62.1%","43.0%","62.8%","91.1%","79.1%","40.0%","55.5%","9.0%","19.4%","28.4%","19556"
"Jose Marmolejos","SEA","30.3%","66.3%","43.8%","54.5%","84.1%","71.2%","37.4%","50.8%","12.6%","16.0%","28.6%","15767"
"Jose Rojas","LAA","30.3%","66.1%","45.5%","58.6%","86.3%","75.7%","42.3%","59.8%","11.1%","17.1%","28.1%","19331"
"Kris Bryant","- - -","30.3%","76.8%","48.7%","54.1%","86.3%","74.1%","39.5%","60.8%","12.6%","13.4%","26.0%","15429"
"Ketel Marte","ARI","30.4%","67.5%","46.0%","73.5%","91.7%","84.7%","41.9%","57.8%","7.0%","17.2%","24.2%","13613"
"Sam Hilliard","COL","30.4%","70.5%","47.0%","47.5%","67.4%","59.8%","41.5%","56.3%","18.9%","15.6%","34.5%","17954"
"Adrian Houser","MIL","30.4%","44.4%","37.4%","17.9%","52.5%","38.2%","49.5%","65.2%","23.1%","30.8%","53.8%","12718"
"David Peralta","ARI","30.5%","67.6%","46.4%","64.6%","90.1%","80.6%","42.9%","57.6%","9.0%","17.2%","26.2%","2136"
"Shogo Akiyama","CIN","30.5%","64.0%","44.1%","72.3%","85.8%","80.2%","40.7%","57.4%","8.7%","19.7%","28.4%","27461"
"Garrett Cooper","MIA","30.5%","68.1%","45.9%","65.7%","83.8%","76.7%","40.8%","56.8%","10.7%","16.6%","27.3%","15279"
"Stuart Fairchild","ARI","30.6%","76.0%","49.2%","45.5%","78.9%","66.7%","41.0%","47.1%","16.4%","11.5%","27.9%","20321"
"Kevin Newman","PIT","30.6%","62.2%","44.4%","79.2%","94.7%","88.7%","43.7%","60.8%","5.0%","20.5%","25.5%","17696"
"Willson Contreras","CHC","30.7%","66.0%","45.0%","47.4%","81.8%","67.8%","40.6%","59.6%","14.5%","16.0%","30.5%","11609"
"Trea Turner","- - -","30.7%","73.6%","49.2%","63.1%","88.1%","79.2%","43.1%","66.6%","10.2%","16.0%","26.2%","16252"
"Brandon Marsh","LAA","30.7%","64.2%","45.2%","44.9%","83.6%","68.7%","43.2%","64.2%","14.2%","18.3%","32.4%","20202"
"Jarrod Dyson","- - -","30.7%","68.1%","48.3%","67.0%","84.4%","78.5%","47.0%","63.8%","10.4%","17.3%","27.7%","4866"
"Kyle Tucker","HOU","30.8%","82.6%","52.4%","69.6%","88.4%","82.0%","41.7%","58.0%","9.4%","10.3%","19.8%","18345"
"Stephen Vogt","- - -","30.8%","66.3%","45.7%","66.9%","80.9%","75.4%","42.1%","53.8%","11.2%","17.1%","28.4%","5000"
"Robel Garcia","HOU","30.9%","65.3%","45.8%","40.5%","71.1%","59.4%","43.4%","65.8%","18.5%","18.5%","37.1%","13167"
"Luis Torrens","SEA","30.9%","64.6%","45.3%","63.6%","81.1%","74.3%","42.7%","61.4%","11.6%","20.4%","32.0%","15905"
"Alec Bohm","PHI","30.9%","74.8%","48.9%","68.9%","80.3%","76.0%","41.0%","61.6%","11.7%","14.8%","26.5%","21618"
"Sam Haggerty","SEA","30.9%","69.3%","47.7%","45.0%","87.5%","72.0%","43.6%","56.4%","13.4%","17.2%","30.5%","18054"
"Starlin Castro","WSN","30.9%","65.7%","46.1%","65.3%","88.9%","80.0%","43.7%","60.7%","9.2%","18.5%","27.7%","4579"
"Robinson Chirinos","CHC","31.0%","69.6%","48.3%","55.7%","77.1%","69.5%","44.8%","61.6%","14.7%","15.4%","30.1%","3142"
"Ben Rortvedt","MIN","31.0%","66.2%","45.3%","52.1%","80.8%","69.1%","40.7%","57.1%","14.0%","17.9%","31.9%","20287"
"Jake Meyers","HOU","31.0%","68.3%","46.0%","57.4%","86.0%","74.4%","40.0%","61.3%","11.8%","18.2%","29.9%","20308"
"Kole Calhoun","ARI","31.1%","82.1%","51.6%","55.9%","77.4%","69.7%","40.3%","53.8%","15.7%","10.2%","25.9%","11200"
"Travis d'Arnaud","ATL","31.2%","77.2%","51.8%","59.3%","87.4%","78.1%","44.8%","66.4%","11.4%","14.3%","25.7%","7739"
"Tommy Edman","STL","31.2%","67.6%","47.3%","76.0%","92.6%","86.5%","44.3%","56.7%","6.4%","18.3%","24.7%","19470"
"Pedro Severino","BAL","31.2%","70.8%","47.9%","52.9%","84.8%","72.7%","42.1%","62.1%","13.0%","16.2%","29.3%","14523"
"Matt Beaty","LAD","31.2%","65.2%","45.8%","66.5%","91.5%","81.7%","42.8%","61.5%","8.4%","18.6%","27.0%","17710"
"Cody Poteet","MIA","31.3%","85.0%","61.1%","60.0%","70.6%","68.2%","55.6%","63.6%","19.4%","8.3%","27.8%","18769"
"Mike Brosseau","TBR","31.3%","69.8%","46.9%","59.6%","81.3%","72.7%","40.7%","53.3%","12.8%","16.5%","29.3%","19683"
"Jason Vosler","SFG","31.3%","74.8%","50.2%","54.4%","80.8%","71.4%","43.3%","52.4%","14.3%","13.7%","28.0%","16686"
"Taylor Trammell","SEA","31.4%","68.8%","47.5%","39.6%","70.0%","58.5%","43.1%","57.3%","19.7%","15.0%","34.8%","19960"
"Patrick Corbin","WSN","31.4%","63.5%","48.2%","45.5%","79.5%","68.9%","52.3%","69.8%","15.0%","20.5%","35.5%","9323"
"Jackie Bradley Jr.","MIL","31.4%","68.7%","47.7%","48.8%","78.7%","67.6%","43.8%","58.9%","15.5%","16.9%","32.3%","12984"
"David Bote","CHC","31.5%","68.6%","47.4%","62.2%","85.9%","76.8%","42.7%","56.6%","11.0%","16.2%","27.1%","14593"
"Mike Zunino","TBR","31.5%","68.5%","46.8%","47.1%","74.6%","63.7%","41.3%","58.7%","17.0%","15.5%","32.5%","13265"
"Willy Adames","- - -","31.6%","73.6%","48.8%","54.2%","79.0%","69.6%","41.1%","61.1%","14.9%","13.9%","28.8%","15986"
"Michael Hermosillo","CHC","31.6%","76.7%","53.7%","50.0%","71.4%","65.0%","49.0%","76.3%","18.8%","15.4%","34.2%","16285"
"Dustin Garneau","DET","31.6%","74.1%","48.6%","65.5%","77.9%","73.0%","40.0%","52.9%","13.1%","14.8%","27.9%","9433"
"Sean Murphy","OAK","31.6%","69.3%","47.6%","55.7%","85.9%","74.3%","42.3%","63.2%","12.2%","17.1%","29.3%","19352"
"Tony Gonsolin","LAD","31.7%","61.8%","45.3%","38.5%","76.2%","61.8%","45.3%","73.7%","17.3%","18.7%","36.0%","19388"
"Wilmer Difo","PIT","31.7%","79.7%","52.9%","63.2%","80.0%","74.4%","44.3%","62.9%","13.6%","10.7%","24.3%","14320"
"Mitch Keller","PIT","31.7%","38.1%","34.9%","75.0%","79.2%","77.3%","50.0%","75.0%","7.9%","35.7%","43.7%","17594"
"Tylor Megill","NYM","31.7%","59.7%","45.6%","45.0%","59.5%","54.4%","49.6%","64.5%","20.8%","20.8%","41.6%","21318"
"Giancarlo Stanton","NYY","31.8%","63.6%","44.2%","58.4%","79.7%","70.3%","39.0%","56.5%","13.1%","17.1%","30.3%","4949"
"Blake Snell","SDP","31.8%","54.8%","46.2%","57.1%","70.0%","66.7%","62.4%","81.1%","15.4%","29.9%","45.3%","13543"
"Edward Olivares","KCR","31.8%","66.1%","44.8%","62.6%","91.3%","78.6%","37.8%","57.7%","9.6%","17.0%","26.5%","19698"
"Ender Inciarte","ATL","31.8%","72.2%","49.1%","73.4%","89.9%","83.8%","42.9%","61.8%","8.0%","15.3%","23.3%","4922"
"Gavin Sheets","CHW","31.8%","66.3%","46.2%","68.0%","89.3%","80.7%","41.8%","55.9%","8.9%","18.0%","26.9%","19901"
"Brian Anderson","MIA","31.9%","75.2%","50.1%","56.8%","82.8%","73.2%","42.0%","60.6%","13.4%","13.8%","27.2%","18289"
"Jonah Heim","TEX","31.9%","75.6%","50.0%","71.4%","86.5%","80.8%","41.4%","60.0%","9.6%","14.4%","24.0%","16930"
"Joe Musgrove","SDP","31.9%","72.2%","52.4%","40.0%","72.9%","63.0%","50.8%","75.4%","19.4%","13.1%","32.5%","12970"
"Jesus Aguilar","MIA","32.0%","62.2%","44.5%","63.2%","84.1%","75.3%","41.5%","54.1%","11.0%","18.2%","29.2%","11342"
"Paul DeJong","STL","32.0%","75.8%","50.1%","57.9%","83.4%","73.8%","41.2%","55.2%","13.1%","13.4%","26.5%","18015"
"Tucker Barnhart","CIN","32.0%","75.1%","50.3%","63.3%","83.9%","76.4%","42.4%","61.6%","11.9%","13.1%","24.9%","10200"
"Corey Seager","LAD","32.0%","84.6%","53.3%","51.1%","86.2%","73.7%","40.5%","64.1%","14.0%","8.0%","22.0%","13624"
"Andrew Vaughn","CHW","32.1%","64.4%","45.3%","61.4%","90.0%","78.0%","41.0%","59.1%","10.0%","18.5%","28.5%","26197"
"Michael Perez","PIT","32.1%","65.3%","45.9%","60.8%","86.3%","75.9%","41.7%","64.1%","11.1%","16.6%","27.6%","12977"
"Brandon Crawford","SFG","32.1%","79.5%","51.6%","55.8%","82.1%","72.5%","41.2%","60.8%","14.2%","11.4%","25.6%","5343"
"Tyler O'Neill","STL","32.1%","75.1%","49.8%","51.4%","77.3%","67.5%","41.1%","60.9%","16.2%","14.7%","30.9%","15711"
"Kolten Wong","MIL","32.1%","68.0%","47.5%","68.2%","90.5%","81.9%","42.9%","60.2%","8.6%","16.7%","25.3%","12532"
"Jonathan Villar","NYM","32.1%","74.5%","49.7%","57.6%","81.5%","72.5%","41.5%","61.6%","13.7%","13.4%","27.0%","10071"
"Christian Walker","ARI","32.2%","83.4%","53.7%","59.8%","82.9%","74.9%","42.0%","64.5%","13.5%","11.0%","24.5%","13419"
"Taijuan Walker","NYM","32.2%","47.6%","40.6%","42.9%","70.0%","60.3%","54.7%","80.4%","16.1%","27.1%","43.2%","11836"
"Luke Raley","LAD","32.2%","79.2%","53.9%","48.9%","74.7%","66.4%","46.1%","58.3%","18.1%","13.3%","31.4%","19354"
"P.J. Higgins","CHC","32.2%","58.5%","44.6%","57.9%","80.6%","72.0%","47.3%","64.0%","12.5%","23.2%","35.7%","18433"
"Bobby Bradley","CLE","32.2%","70.0%","47.8%","44.4%","74.4%","62.5%","41.0%","62.0%","17.9%","15.6%","33.5%","17278"
"Johnny Cueto","SFG","32.3%","52.5%","42.3%","80.0%","75.0%","76.9%","49.6%","70.3%","9.8%","25.2%","35.0%","6893"
"Jeimer Candelario","DET","32.3%","70.3%","47.5%","64.0%","87.7%","78.1%","40.1%","61.0%","10.4%","15.6%","26.0%","13621"
"Andrelton Simmons","MIN","32.3%","61.5%","44.6%","78.2%","89.2%","84.6%","42.2%","61.9%","6.9%","19.1%","26.0%","10847"
"Jon Gray","COL","32.3%","49.5%","40.8%","31.3%","66.7%","52.5%","49.5%","76.0%","19.4%","29.6%","49.0%","14916"
"Kelvin Gutierrez","- - -","32.3%","62.2%","45.1%","55.1%","79.9%","69.8%","42.9%","63.1%","13.6%","20.7%","34.3%","17468"
"Jose Rondon","STL","32.4%","61.0%","44.8%","72.5%","83.0%","78.7%","43.5%","64.4%","9.5%","21.5%","31.0%","14140"
