"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"142",543685,"Rendon, Anthony","948","15.0","0.152","0.152","0.174","0.303","0.231","0.234","0.158","5","33","88.6","17.6","2155","89.8","86.89","12","66","76","-2.9","6.42","110","153","123","148","305","325","297"
"142",520471,"Galvis, Freddy","1545","9.2","0.233","0.167","0.300","0.400","0.305","0.245","0.174","7","30","85.7","11.6","2225","87.4","86.82","18","69","73","-0.6","6.27","115","152","110","151","294","319","294"
"142",660294,"Tsutsugo, Yoshi","1072","13.2","0.214","0.036","0.353","0.250","0.249","0.219","0.155","6","28","85.1","17.6","2187","87.9","87.77","17","66","76","-0.1","6.24","116","162","124","152","292","321","299"
"142",592696,"Rosario, Eddie","1508","9.4","0.293","0.244","0.286","0.537","0.364","0.362","0.277","12","41","92.7","11.4","2168","86.8","87.03","11","74","68","0.2","6.33","113","161","115","151","294","322","299"
"141",595943,"Evans, Phillip","928","15.2","0.200","0.033","0.250","0.233","0.261","0.322","0.264","6","30","89.8","2.6","2255","87.4","87.55","13","65","76","0.1","6.30","105","152","118","147","302","321","288"
"140",647351,"Toro, Abraham","1502","9.3","0.267","0.233","0.240","0.500","0.366","0.347","0.273","8","30","88.8","19.4","2063","87.7","87.65","8","58","82","0.0","6.31","111","153","122","147","292","319","291"
"140",669016,"Marsh, Brandon","1073","13.0","0.273","0.061","0.450","0.333","0.298","0.342","0.279","9","33","93.6","7.1","2193","87.8","86.95","23","64","76","-0.9","6.23","119","152","115","151","296","321","303"
"140",656669,"Luplow, Jordan","869","16.1","0.192","0.154","0.250","0.346","0.301","0.308","0.194","5","26","83.4","16.2","2232","87.9","86.70","20","67","73","-1.2","6.28","104","152","119","144","296","322","292"
"140",650489,"Castro, Willi","1632","8.6","0.152","0.000","0.185","0.152","0.180","0.288","0.260","5","33","78.6","6.0","2170","88.3","86.88","15","74","66","-1.4","6.29","112","152","116","151","294","321","297"
"139",545358,"Stassi, Max","1270","10.9","0.310","0.034","0.563","0.345","0.347","0.335","0.267","9","29","85.8","10.3","2240","88.4","86.83","20","60","79","-1.6","6.24","103","152","120","146","307","322","293"
"137",462101,"Andrus, Elvis","2053","6.7","0.133","0.067","0.174","0.200","0.192","0.289","0.246","4","30","85.8","16.7","2166","87.4","87.58","16","76","61","0.2","6.32","108","154","116","148","305","324","286"
"137",606992,"Haase, Eric","1548","8.9","0.270","0.081","0.370","0.351","0.282","0.330","0.302","10","37","93.0","13.7","2199","86.9","86.97","21","74","63","0.1","6.24","104","151","120","146","302","325","295"
"137",543877,"Vázquez, Christian","1947","7.0","0.176","0.000","0.240","0.176","0.185","0.201","0.181","6","34","83.4","7.6","2202","88.6","88.85","18","72","65","0.3","6.38","103","153","119","149","294","318","289"
"136",516770,"Castro, Starlin","1292","10.5","0.353","0.147","0.379","0.500","0.383","0.362","0.315","12","34","90.1","7.6","2233","88.6","88.96","14","71","65","0.4","6.46","105","152","117","147","305","319","291"
"135",458731,"Gardner, Brett","2096","6.4","0.241","0.345","0.222","0.586","0.375","0.304","0.256","7","29","89.9","10.7","2173","88.7","88.50","19","60","75","-0.2","6.48","111","153","109","150","282","321","299"
"135",605113,"Ahmed, Nick","1777","7.6","0.243","0.243","0.233","0.486","0.324","0.300","0.248","9","37","90.7","19.9","2237","87.9","85.58","18","72","63","-2.3","6.33","104","151","112","145","306","324","292"
"135",594809,"Eaton, Adam","1156","11.7","0.303","0.212","0.320","0.515","0.375","0.335","0.300","10","33","85.9","0.1","2149","88.2","88.23","14","66","69","0.0","6.27","107","148","98","148","289","319","302"
"132",623912,"Ramirez, Harold","1335","9.9","0.300","0.100","0.360","0.400","0.313","0.294","0.276","9","30","89.7","12.8","2328","87.5","87.64","22","78","54","0.1","6.29","105","152","119","148","300","319","289"
"132",641598,"Garver, Mitch","1032","12.8","0.200","0.133","0.278","0.333","0.256","0.293","0.207","6","30","91.3","15.5","2149","87.0","86.97","12","52","80","0.0","6.24","105","153","121","145","301","325","291"
"131",456781,"Solano, Donovan","1317","9.9","0.406","0.125","0.500","0.531","0.427","0.338","0.301","13","32","87.4","3.7","2247","87.6","87.15","16","67","64","-0.5","6.34","109","154","119","149","303","318","288"
"131",570482,"Urshela, Gio","1697","7.7","0.276","0.103","0.400","0.379","0.294","0.247","0.222","8","29","90.3","9.9","2199","88.5","88.70","21","81","50","0.2","6.33","107","152","120","148","307","325","284"
"130",643393,"Kemp, Tony","1511","8.6","0.367","0.233","0.391","0.600","0.430","0.307","0.248","11","30","85.3","20.7","2117","89.5","88.79","9","52","78","-0.7","6.30","109","147","98","150","281","316","296"
"130",660821,"Sánchez, Jesús","989","13.1","0.200","0.033","0.300","0.233","0.240","0.317","0.249","6","30","87.1","0.8","2181","87.2","87.16","17","60","70","0.0","6.37","110","154","122","148","292","323","300"
"129",657041,"Thomas, Lane","1115","11.6","0.367","0.233","0.429","0.600","0.437","0.348","0.271","11","30","91.4","10.7","2209","88.2","88.37","14","56","73","0.2","6.32","109","150","111","146","304","319","286"
"129",605612,"Castro, Harold","1173","11.0","0.333","0.000","0.382","0.333","0.303","0.355","0.335","13","39","86.4","6.4","2228","88.3","88.26","20","79","50","0.0","6.27","116","151","111","152","287","319","296"
"128",596748,"Franco, Maikel","1466","8.7","0.275","0.150","0.294","0.425","0.307","0.327","0.292","11","40","91.8","8.0","2179","87.0","86.33","18","74","54","-0.7","6.38","104","152","122","148","300","326","294"
"128",672284,"Kelenic, Jarred","1477","8.7","0.265","0.412","0.227","0.676","0.404","0.397","0.267","9","34","89.1","14.5","2209","87.1","87.05","15","61","67","-0.1","6.22","117","153","118","151","292","321","297"
"127",649557,"Díaz, Aledmys","1140","11.1","0.222","0.111","0.226","0.333","0.284","0.350","0.276","8","36","88.2","17.0","2191","87.7","87.73","15","73","54","0.0","6.33","104","153","118","145","298","326","291"
"124",543768,"Shaw, Travis","1048","11.8","0.185","0.074","0.227","0.259","0.208","0.363","0.312","5","27","86.0","8.1","2184","87.9","83.42","10","61","63","-4.5","6.26","117","159","120","151","293","324","302"
"124",605119,"Anderson, Brian","1028","12.1","0.308","0.231","0.300","0.538","0.411","0.391","0.267","8","26","91.2","10.5","2175","88.1","88.10","14","56","68","0.0","6.37","106","153","120","148","307","326","290"
"124",620443,"Torrens, Luis","1554","8.0","0.133","0.067","0.222","0.200","0.185","0.212","0.169","4","30","89.4","5.4","2135","88.9","88.98","18","59","65","0.1","6.25","109","151","121","146","300","321","286"
"123",543228,"Gomes, Yan","1348","9.1","0.265","0.147","0.320","0.412","0.279","0.291","0.259","9","34","90.6","17.3","2246","86.8","86.88","12","71","52","0.1","6.35","102","152","119","148","302","319","295"
"121",544369,"Gregorius, Didi","1580","7.7","0.063","0.063","0.069","0.125","0.109","0.189","0.154","2","32","86.9","19.0","2276","88.4","88.34","18","65","56","-0.1","6.24","116","155","128","148","291","322","297"
"121",542303,"Ozuna, Marcell","758","16.0","0.276","0.241","0.261","0.517","0.376","0.449","0.359","8","29","91.5","9.1","2179","89.2","89.61","9","59","62","0.4","6.54","108","152","121","148","307","327","298"
"120",571718,"Goodwin, Brian","1179","10.2","0.280","0.040","0.412","0.320","0.293","0.270","0.252","7","25","82.8","7.5","2159","87.6","87.66","13","56","64","0.1","6.27","110","154","113","152","292","323","298"
"119",656252,"Bradley, Bobby","1089","10.9","0.111","0.000","0.214","0.111","0.115","0.156","0.146","3","27","87.8","2.8","2188","87.1","87.29","23","61","58","0.2","6.35","112","160","125","151","292","323","301"
"115",572761,"Carpenter, Matt","1123","10.2","0.136","0.091","0.188","0.227","0.251","0.441","0.300","3","22","94.8","15.6","2260","89.9","89.92","13","43","72","0.0","6.28","119","160","120","148","298","323","301"
"115",592348,"Goodrum, Niko","1341","8.6","0.240","0.320","0.267","0.560","0.356","0.355","0.215","6","25","87.0","5.9","2152","88.2","87.91","22","57","58","-0.3","6.12","112","154","120","149","297","324","294"
"114",624415,"Biggio, Cavan","1125","10.1","0.280","0.280","0.278","0.560","0.362","0.255","0.179","7","25","86.6","20.9","2237","89.3","89.17","9","50","64","-0.1","6.19","112","164","114","149","288","324","299"
"112",645302,"Robles, Victor","1404","8.0","0.154","0.038","0.222","0.192","0.188","0.221","0.197","4","26","80.8","9.3","2235","86.9","86.89","18","57","55","0.0","6.24","102","149","104","144","300","317","291"
"112",544725,"García, Leury","1672","6.7","0.294","0.176","0.321","0.471","0.324","0.265","0.233","10","34","85.5","-3.8","2138","88.0","87.96","9","60","52","0.0","6.18","104","147","103","146","289","318","291"
"112",608596,"Murphy, Tom","1323","8.5","0.190","0.429","0.125","0.619","0.387","0.355","0.192","4","21","83.4","6.2","2105","86.9","87.06","14","49","63","0.2","6.38","110","153","122","146","299","323","291"
"112",543543,"Miller, Brad","1525","7.3","0.172","0.207","0.136","0.379","0.273","0.445","0.340","5","29","93.3","12.3","2234","87.9","87.72","17","53","59","-0.2","6.26","119","158","120","153","293","323","297"
"112",667670,"Rooker, Brent","814","13.8","0.240","0.200","0.278","0.440","0.378","0.483","0.347","6","25","95.9","12.0","2124","87.6","87.72","10","51","61","0.1","6.30","107","153","121","147","298","321","292"
"111",600474,"Severino, Pedro","1693","6.6","0.138","0.000","0.190","0.138","0.140","0.260","0.247","4","29","91.5","21.0","2116","87.0","87.03","17","58","53","0.0","6.41","108","150","117","144","299","321","287"
"110",643524,"Schwindel, Frank","918","12.0","0.387","0.452","0.409","0.839","0.512","0.346","0.288","12","31","83.2","11.4","2228","88.2","88.45","9","57","53","0.2","6.38","107","153","122","147","298","323","299"
"109",628451,"Ibáñez, Andy","929","11.7","0.281","0.250","0.250","0.531","0.361","0.313","0.265","9","32","85.6","10.9","2173","87.2","87.19","5","57","52","0.0","6.26","109","153","117","148","302","322","288"
"109",572287,"Zunino, Mike","1502","7.3","0.273","0.273","0.357","0.545","0.371","0.429","0.296","6","22","93.4","21.5","2252","90.1","89.44","18","52","57","-0.7","6.55","105","153","122","148","302","328","293"
"108",658069,"Fuentes, Joshua","1018","10.6","0.267","0.067","0.348","0.333","0.273","0.226","0.226","8","30","82.3","28.8","2295","88.2","86.91","18","68","40","-1.3","6.23","112","152","119","148","308","329","295"
"107",673357,"Robert, Luis","963","11.1","0.167","0.033","0.192","0.200","0.203","0.263","0.190","5","30","88.1","15.8","2197","88.5","88.56","20","67","40","0.1","6.30","104","153","118","146","304","326","297"
"107",657557,"DeJong, Paul","1578","6.8","0.267","0.233","0.273","0.500","0.335","0.291","0.224","8","30","88.6","14.3","2241","88.9","86.40","13","56","51","-2.5","6.22","110","154","119","147","305","324","297"
"107",642721,"Gutierrez, Kelvin","1160","9.2","0.208","0.250","0.231","0.458","0.310","0.300","0.216","5","24","96.3","4.9","2203","86.8","86.85","17","50","57","0.0","6.35","107","150","120","146","307","324","292"
"107",572041,"Pollock, AJ","1465","7.3","0.286","0.000","0.364","0.286","0.272","0.341","0.301","8","28","90.4","13.2","2145","88.5","88.54","12","60","47","0.0","6.34","108","153","120","146","306","326","296"
"106",628450,"Hernandez, Yadiel","1155","9.2","0.345","0.103","0.429","0.448","0.354","0.316","0.280","10","29","95.7","5.4","2294","88.7","89.00","18","62","44","0.3","6.39","108","152","113","151","294","320","301"
"106",543510,"McCann, James","1623","6.5","0.219","0.313","0.182","0.531","0.309","0.289","0.227","7","32","89.0","12.6","2281","89.8","90.04","20","68","38","0.2","6.43","107","152","120","146","305","326","292"
"104",641355,"Bellinger, Cody","1430","7.3","0.125","0.125","0.111","0.250","0.216","0.343","0.235","3","24","88.2","34.8","2207","88.4","88.46","15","47","57","0.1","6.28","115","154","136","148","301","325","301"
"104",501571,"Lagares, Juan","1237","8.4","0.136","0.000","0.176","0.136","0.168","0.284","0.242","3","22","94.4","2.6","2137","88.8","88.74","10","49","55","-0.1","6.28","109","153","117","148","306","322","292"
"103",595751,"Alfaro, Jorge","1105","9.3","0.300","0.167","0.348","0.467","0.337","0.367","0.289","9","30","89.7","3.2","2201","88.6","88.67","19","73","30","0.1","6.38","109","151","119","147","307","323","291"
"103",656811,"O'Hearn, Ryan","978","10.5","0.143","0.179","0.176","0.321","0.190","0.258","0.221","4","28","93.2","9.9","2253","87.4","87.30","16","55","48","-0.1","6.17","113","161","128","151","295","326","306"
"103",621446,"Brinson, Lewis","1099","9.4","0.214","0.036","0.261","0.250","0.218","0.296","0.298","6","28","87.9","8.3","2183","86.8","86.79","16","57","46","0.0","6.34","107","150","116","144","303","321","292"
"103",641786,"Lewis, Kyle","604","17.1","0.130","0.043","0.167","0.174","0.214","0.340","0.241","3","23","86.0","9.1","2319","88.6","88.40","11","52","51","-0.2","6.21","112","154","121","148","302","324","292"
"102",572228,"Voit, Luke","966","10.6","0.176","0.059","0.250","0.235","0.311","0.344","0.169","3","17","88.8","29.9","2186","87.5","87.65","17","48","54","0.2","6.32","107","153","123","145","302","331","292"
"102",670712,"Brosseau, Mike","734","13.9","0.176","0.412","0.100","0.588","0.396","0.411","0.255","3","17","97.4","11.9","2162","87.6","87.73","4","33","68","0.1","6.49","108","154","121","147","302","324","290"
"102",553869,"Díaz, Elias","1307","7.8","0.214","0.036","0.273","0.250","0.234","0.197","0.164","6","28","86.6","25.1","2306","87.0","87.27","17","55","47","0.3","6.29","109","150","119","147","308","331","295"
"101",666158,"Lux, Gavin","1441","7.0","0.200","0.200","0.200","0.400","0.283","0.403","0.335","5","25","92.3","9.9","2253","87.7","88.08","7","51","50","0.4","6.33","116","149","121","149","296","322","301"
"101",666971,"Gurriel Jr., Lourdes","2072","4.9","0.211","0.132","0.226","0.342","0.234","0.213","0.194","8","38","88.7","17.7","2261","88.4","88.40","13","60","41","0.0","6.23","109","154","120","149","303","325","294"
"101",594777,"Calhoun, Kole","734","13.8","0.292","0.042","0.304","0.333","0.304","0.385","0.341","7","24","84.8","11.0","2115","87.1","87.14","12","55","46","0.0","6.34","116","163","133","146","298","325","303"
"101",596059,"Odor, Rougned","1343","7.5","0.214","0.321","0.235","0.536","0.333","0.229","0.171","6","28","88.6","16.4","2153","87.6","87.84","16","58","43","0.2","6.45","109","154","108","151","294","327","295"
"99",571466,"Barnhart, Tucker","1524","6.5","0.348","0.130","0.444","0.478","0.367","0.317","0.293","8","23","89.7","17.1","2344","87.8","87.85","10","49","50","0.1","6.19","117","159","126","150","291","321","299"
"99",519058,"Moustakas, Mike","792","12.5","0.100","0.050","0.125","0.150","0.134","0.157","0.130","2","20","86.4","35.8","2227","88.8","88.67","7","51","48","-0.1","6.18","117","168","136","151","295","323","298"
"99",608686,"Mayfield, Jack","1112","8.9","0.280","0.320","0.278","0.600","0.390","0.268","0.222","7","25","85.5","5.8","2177","87.6","87.51","15","61","38","-0.1","6.24","102","151","116","144","299","317","292"
"98",650391,"Jiménez, Eloy","793","12.4","0.292","0.208","0.333","0.500","0.396","0.388","0.266","7","24","87.8","10.4","2089","87.1","87.33","15","50","48","0.2","6.36","100","151","121","145","306","327","296"
"98",405395,"Pujols, Albert","1123","8.7","0.200","0.000","0.250","0.200","0.215","0.285","0.247","5","25","89.5","11.4","2200","85.8","85.76","9","39","59","0.0","6.27","109","156","124","149","298","325","292"
"98",673490,"Kim, Ha-Seong","1183","8.3","0.050","0.000","0.077","0.050","0.128","0.222","0.146","1","20","89.9","25.5","2213","88.8","88.53","9","43","55","-0.3","6.19","107","152","118","147","296","320","290"
"98",602104,"Urías, Ramón","1253","7.8","0.391","0.087","0.429","0.478","0.413","0.424","0.370","9","23","90.2","-4.0","2168","87.2","87.30","6","42","56","0.1","6.48","106","150","116","145","303","320","283"
"98",623520,"Bote, David","1232","8.0","0.185","0.074","0.217","0.259","0.208","0.208","0.179","5","27","88.0","12.1","2244","87.6","87.64","9","48","50","0.0","6.36","109","150","120","146","299","320","288"
"97",641584,"Fraley, Jake","1159","8.4","0.278","0.333","0.250","0.611","0.415","0.412","0.303","5","18","83.9","1.9","2139","87.7","87.80","8","42","55","0.1","6.30","118","161","127","150","290","321","295"
"96",656582,"Joe, Connor","818","11.7","0.227","0.136","0.235","0.364","0.292","0.332","0.239","5","22","82.5","7.9","2247","87.2","87.45","6","39","57","0.2","6.32","112","154","119","148","302","324","295"
"96",501303,"Adrianza, Ehire","835","11.5","0.118","0.059","0.143","0.176","0.201","0.353","0.293","2","17","90.5","8.4","2246","87.8","88.15","7","42","54","0.4","6.49","109","154","110","151","294","320","292"
"96",598265,"Bradley Jr., Jackie","1682","5.7","0.111","0.111","0.167","0.222","0.137","0.258","0.265","3","27","94.7","6.6","2256","87.2","81.28","17","52","44","-5.9","6.14","116","149","114","152","293","321","299"
"96",641343,"Bauers, Jake","1222","7.9","0.056","0.000","0.083","0.056","0.166","0.286","0.189","1","18","87.1","36.2","2129","89.3","89.45","16","45","51","0.1","6.34","116","160","124","150","293","318","296"
"95",605204,"Davis, J.D.","890","10.7","0.200","0.200","0.231","0.400","0.271","0.310","0.208","4","20","88.4","24.2","2230","89.8","89.94","17","49","46","0.1","6.44","108","153","120","149","305","325","289"
"95",518792,"Heyward, Jason","1314","7.2","0.130","0.087","0.167","0.217","0.169","0.216","0.189","3","23","89.0","6.7","2179","87.6","88.15","13","45","50","0.5","6.54","118","162","123","152","291","322","301"
"95",446334,"Longoria, Evan","1155","8.2","0.222","0.259","0.200","0.481","0.321","0.327","0.254","6","27","93.8","9.0","2347","88.0","88.13","13","51","44","0.1","6.33","107","152","122","145","305","327","298"
"94",606213,"Mercedes, Yermín","1097","8.6","0.185","0.074","0.200","0.259","0.190","0.234","0.193","5","27","85.8","18.6","2265","86.9","87.01","10","61","33","0.1","6.31","108","153","121","147","298","323","291"
"92",594694,"Difo, Wilmer","922","10.0","0.292","0.042","0.368","0.333","0.288","0.221","0.210","7","24","83.1","9.3","2116","85.5","85.45","15","51","41","0.0","6.22","112","150","111","147","295","311","286"
"92",680777,"Jeffers, Ryan","1198","7.7","0.174","0.174","0.200","0.348","0.237","0.280","0.183","4","23","87.5","7.8","2262","89.3","89.37","19","47","45","0.1","6.26","108","153","121","147","301","322","291"
"92",475582,"Zimmerman, Ryan","1117","8.2","0.320","0.320","0.300","0.640","0.401","0.387","0.326","8","25","93.2","3.4","2236","86.0","86.08","9","58","34","0.1","6.28","107","153","120","148","307","325","294"
"92",518586,"Culberson, Charlie","996","9.2","0.238","0.048","0.357","0.286","0.267","0.268","0.233","5","21","80.1","2.2","2167","85.6","85.46","14","50","42","-0.1","6.23","108","150","112","147","303","324","291"
"92",642201,"White, Eli","892","10.3","0.190","0.000","0.286","0.190","0.234","0.247","0.188","4","21","86.2","16.6","2131","87.4","87.45","18","43","49","0.1","6.34","107","149","113","144","301","319","289"
"91",542932,"Berti, Jon","1138","8.0","0.238","0.333","0.250","0.571","0.366","0.365","0.262","5","21","82.9","-1.8","2261","87.8","87.94","9","35","56","0.1","6.40","105","151","114","148","303","315","285"
"91",519048,"Moreland, Mitch","986","9.2","0.292","0.375","0.250","0.667","0.418","0.359","0.259","7","24","92.1","13.8","2196","88.3","88.51","12","46","45","0.2","6.47","115","172","131","150","295","325","308"
"91",664913,"Brown, Seth","1218","7.5","0.080","0.040","0.118","0.120","0.108","0.161","0.146","2","25","79.3","15.9","2235","87.7","86.96","14","42","49","-0.7","6.48","118","162","119","155","294","325","302"
"90",656847,"Peters, DJ","902","10.0","0.217","0.435","0.143","0.652","0.354","0.451","0.359","5","23","92.3","10.6","2126","87.7","87.72","14","51","39","0.0","6.24","112","153","121","146","303","326","294"
"89",456715,"Cain, Lorenzo","1134","7.8","0.263","0.053","0.294","0.316","0.330","0.322","0.217","5","19","92.5","17.9","2238","89.3","89.60","9","40","49","0.3","6.46","106","152","120","148","304","321","285"
"89",669374,"Hiura, Keston","797","11.2","0.235","0.118","0.500","0.353","0.317","0.274","0.170","4","17","90.9","23.6","2210","87.3","86.91","22","45","44","-0.4","6.08","110","151","119","147","301","322","293"
"87",605170,"Caratini, Victor","1312","6.6","0.238","0.143","0.267","0.381","0.282","0.273","0.243","5","21","91.5","-5.6","2184","88.8","88.81","6","42","45","0.0","6.34","111","154","119","151","286","319","301"
"87",641856,"McKinney, Billy","1280","6.8","0.118","0.176","0.083","0.294","0.225","0.284","0.206","2","17","89.3","19.3","2262","88.6","83.33","5","39","48","-5.3","6.30","119","159","131","148","290","319","302"
"86",621311,"Dahl, David","814","10.6","0.167","0.167","0.158","0.333","0.209","0.367","0.320","4","24","85.0","7.0","2195","85.6","84.62","11","50","36","-1.0","6.37","113","157","121","152","292","323","301"
"86",660634,"Hernandez, Yonny","681","12.6","0.263","0.158","0.263","0.421","0.329","0.378","0.358","5","19","78.5","11.5","2076","89.1","89.22","2","34","52","0.1","6.33","113","151","106","150","292","320","298"
"85",435559,"Suzuki, Kurt","912","9.3","0.130","0.000","0.158","0.130","0.140","0.214","0.205","3","23","77.0","4.7","2070","86.7","85.53","11","49","36","-1.2","6.24","107","153","119","147","298","322","291"
"84",608577,"Mazara, Nomar","776","10.8","0.238","0.048","0.294","0.286","0.216","0.200","0.201","5","21","90.5","8.1","2255","88.1","87.93","10","43","41","-0.2","6.20","118","160","121","151","292","323","301"
"83",621493,"Ward, Taylor","874","9.5","0.174","0.304","0.154","0.478","0.301","0.266","0.168","4","23","86.7","26.0","2000","88.0","88.16","12","41","42","0.2","6.41","107","152","119","148","306","324","298"
"83",670351,"Rojas, Jose","732","11.3","0.167","0.000","0.200","0.167","0.201","0.265","0.195","3","18","86.7","14.4","2154","87.1","85.05","8","40","43","-2.0","6.33","119","157","116","153","292","320","305"
"82",666135,"Kirilloff, Alex","835","9.8","0.375","0.208","0.421","0.583","0.419","0.518","0.419","9","24","96.5","10.3","2267","87.7","87.57","11","44","38","-0.1","6.08","111","160","118","149","296","323","304"
"82",621453,"Duggar, Steven","1197","6.9","0.250","0.188","0.333","0.438","0.333","0.265","0.217","4","16","81.6","3.2","2235","88.1","88.39","8","31","51","0.3","6.37","113","154","111","152","295","322","305"
"82",650559,"De La Cruz, Bryan","871","9.4","0.333","0.143","0.368","0.476","0.373","0.374","0.334","7","21","90.2","12.3","2247","86.7","86.30","5","43","39","-0.4","6.18","102","151","115","145","303","322","286"
"82",545361,"Trout, Mike","610","13.4","0.300","0.350","0.333","0.650","0.409","0.442","0.329","6","20","95.0","18.4","2397","89.6","88.58","15","41","41","-1.0","6.23","109","153","121","146","303","324","296"
"82",621438,"Taylor, Tyrone","1049","7.8","0.292","0.125","0.368","0.417","0.317","0.249","0.216","7","24","85.9","19.2","2296","88.6","82.39","8","45","37","-6.2","6.29","103","151","119","145","301","320","292"
"81",642727,"Alcántara, Sergio","1069","7.6","0.000","0.000","0.000","0.000","0.122","0.250","0.162","0","14","88.1","-1.7","2213","88.3","88.54","12","31","50","0.2","6.31","110","151","117","149","287","316","297"
"81",503556,"Gonzalez, Marwin","1203","6.7","0.200","0.000","0.286","0.200","0.224","0.209","0.170","4","20","85.4","-2.0","2089","88.3","87.06","12","47","34","-1.2","6.21","113","152","113","152","290","324","302"
"79",595281,"Kiermaier, Kevin","1494","5.3","0.273","0.136","0.353","0.409","0.294","0.276","0.265","6","22","86.8","8.2","2179","89.4","89.65","15","50","29","0.2","6.54","112","149","108","154","290","328","305"
"79",570481,"González, Erik","807","9.8","0.214","0.000","0.273","0.214","0.188","0.239","0.240","6","28","89.4","-1.3","2262","86.1","85.94","12","46","33","-0.2","6.21","111","151","116","147","305","316","286"
"78",664247,"Garlick, Kyle","433","18.0","0.200","0.150","0.300","0.350","0.232","0.259","0.197","4","20","87.4","30.2","2224","86.6","86.60","13","38","40","0.0","6.25","102","154","121","146","305","326","294"
"77",571875,"Lamb, Jake","683","11.3","0.214","0.071","0.429","0.286","0.320","0.382","0.247","3","14","94.0","16.7","2181","86.8","87.20","9","31","46","0.4","6.49","116","165","119","150","292","323","302"
"77",666198,"Kieboom, Carter","884","8.7","0.278","0.167","0.333","0.444","0.362","0.301","0.222","5","18","82.4","6.1","2255","88.1","88.43","12","38","39","0.3","6.45","103","151","117","146","307","320","287"
"76",518595,"d'Arnaud, Travis","872","8.7","0.143","0.143","0.133","0.286","0.194","0.270","0.210","3","21","89.5","2.6","2183","88.7","89.11","10","40","36","0.4","6.55","110","152","118","147","306","321","292"
"75",662139,"Varsho, Daulton","1220","6.1","0.118","0.000","0.167","0.118","0.136","0.297","0.255","2","17","84.0","-1.1","2296","88.1","85.88","11","41","34","-2.2","6.34","114","152","116","149","293","325","305"
"74",665750,"Taveras, Leody","709","10.4","0.200","0.100","0.286","0.300","0.210","0.262","0.268","4","20","85.6","-5.0","2038","86.4","86.41","7","39","35","0.0","6.24","111","149","113","151","292","319","294"
"74",642133,"Tellez, Rowdy","1266","5.8","0.263","0.105","0.313","0.368","0.291","0.323","0.267","5","19","91.8","10.9","2239","88.7","88.78","8","36","38","0.1","6.28","112","167","126","152","299","325","299"
"74",656371,"Díaz, Isan","1070","6.9","0.200","0.200","0.214","0.400","0.238","0.385","0.301","4","20","92.3","12.5","2196","88.6","88.40","8","35","39","-0.2","6.15","121","160","126","146","292","321","303"
"74",624431,"Trevino, Jose","1053","7.0","0.333","0.238","0.316","0.571","0.381","0.413","0.359","7","21","93.3","19.2","2136","86.4","86.28","4","35","39","-0.1","6.27","111","153","121","149","303","322","288"
"74",664056,"Bader, Harrison","1586","4.7","0.136","0.045","0.176","0.182","0.184","0.230","0.192","3","22","83.7","7.8","2183","89.5","88.20","10","41","33","-1.3","6.14","107","152","108","146","307","324","295"
"73",501659,"Almonte, Abraham","763","9.6","0.214","0.071","0.250","0.286","0.320","0.317","0.217","3","14","88.8","12.3","2271","89.4","89.49","3","27","46","0.1","6.33","118","148","114","146","294","320","296"
"72",571788,"Holt, Brock","1024","7.0","0.118","0.059","0.167","0.176","0.184","0.263","0.216","2","17","88.6","11.8","2108","88.8","88.95","8","28","44","0.2","6.31","113","152","112","151","284","317","301"
"72",605412,"Panik, Joe","1013","7.1","0.158","0.000","0.158","0.158","0.166","0.279","0.258","3","19","84.1","17.5","2274","88.8","88.64","5","36","36","-0.2","6.15","112","153","109","151","287","318","297"
"72",641829,"Martin, Jason","608","11.8","0.286","0.286","0.300","0.571","0.380","0.402","0.353","4","14","88.5","1.1","2158","89.1","89.26","4","35","37","0.2","6.34","113","151","112","153","289","325","306"
"72",624641,"Sosa, Edmundo","1190","6.1","0.350","0.000","0.467","0.350","0.362","0.293","0.235","7","20","89.3","5.6","2333","88.1","84.28","6","37","35","-3.8","6.27","110","153","112","147","306","318","293"
"71",657108,"White, Evan","409","17.4","0.077","0.077","0.111","0.154","0.138","0.205","0.167","1","13","84.7","25.4","2194","87.6","87.48","9","37","34","-0.1","6.23","112","153","122","148","296","318","291"
"71",592743,"Simmons, Andrelton","1645","4.3","0.000","0.000","0.000","0.000","0.100","0.256","0.189","0","18","87.2","4.9","2180","87.4","87.39","4","28","43","0.0","6.15","105","154","113","147","300","322","287"
"71",591720,"Torreyes, Ronald","1170","6.1","0.300","0.200","0.294","0.500","0.355","0.286","0.246","6","20","81.9","10.6","2241","87.9","88.01","6","36","35","0.1","6.36","104","153","113","148","294","310","277"
"71",657757,"Sheets, Gavin","809","8.8","0.200","0.267","0.167","0.467","0.301","0.230","0.175","3","15","81.5","17.8","1991","88.3","88.31","3","38","33","0.0","6.26","115","163","117","148","295","323","299"
"71",628338,"Heredia, Guillermo","1344","5.3","0.158","0.211","0.182","0.368","0.241","0.280","0.220","3","19","88.2","4.8","2275","89.1","89.25","14","40","31","0.2","6.37","106","151","110","147","305","319","284"
