"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"196",663886,"Stephenson, Tyler","1577","12.4","0.306","0.250","0.310","0.556","0.425","0.396","0.279","11","36","93.8","12.9","2209","87.5","87.69","10","72","124","0.2","6.29","110","152","119","146","301","321","288"
"192",425877,"Molina, Yadier","1669","11.5","0.196","0.152","0.171","0.348","0.256","0.311","0.243","9","46","87.5","17.7","2270","88.4","88.60","22","111","81","0.2","6.32","109","155","121","148","306","322","292"
"192",571976,"Myers, Wil","2010","9.6","0.216","0.137","0.270","0.353","0.287","0.320","0.241","11","51","88.3","14.9","2388","87.7","87.25","31","102","90","-0.5","6.34","108","152","114","146","301","324","295"
"192",545341,"Grichuk, Randal","2004","9.6","0.255","0.314","0.276","0.569","0.342","0.332","0.218","13","51","89.3","20.1","2247","88.1","88.16","27","108","84","0.1","6.27","106","152","119","144","299","324","294"
"191",518735,"Grandal, Yasmani","1669","11.4","0.212","0.242","0.227","0.455","0.366","0.403","0.267","7","33","93.1","7.6","2181","87.5","87.67","16","65","126","0.2","6.32","113","161","120","148","295","326","300"
"190",592669,"Renfroe, Hunter","2191","8.7","0.233","0.256","0.219","0.488","0.334","0.379","0.270","10","43","88.8","6.3","2211","87.4","86.52","22","94","96","-0.9","6.35","103","153","121","145","291","322","298"
"190",553993,"Suárez, Eugenio","2391","7.9","0.122","0.184","0.097","0.306","0.221","0.294","0.185","6","49","87.1","17.1","2238","87.2","87.43","24","80","110","0.2","6.35","102","152","120","144","301","328","299"
"188",621550,"Wisdom, Patrick","1631","11.5","0.243","0.297","0.429","0.541","0.352","0.271","0.170","9","37","85.2","5.9","2235","87.7","87.82","45","102","86","0.1","6.33","108","152","121","146","299","325","298"
"187",543063,"Crawford, Brandon","2136","8.8","0.306","0.367","0.297","0.673","0.426","0.437","0.324","15","49","91.4","12.8","2200","88.6","88.31","29","103","84","-0.3","6.31","114","156","119","150","296","326","304"
"186",663616,"Larnach, Trevor","1211","15.4","0.189","0.108","0.240","0.297","0.294","0.293","0.167","7","37","87.6","12.2","2203","87.7","87.69","27","80","106","0.0","6.20","113","164","120","150","295","322","301"
"185",621439,"Buxton, Byron","925","20.0","0.385","0.538","0.429","0.923","0.557","0.492","0.379","15","39","94.0","13.4","2231","87.5","87.16","29","98","87","-0.3","6.32","108","153","118","145","302","327","295"
"183",677551,"Franco, Wander","1101","16.6","0.326","0.326","0.289","0.652","0.430","0.383","0.316","15","46","88.3","9.3","2158","87.9","87.99","17","97","86","0.1","6.48","109","151","120","149","292","324","298"
"181",621466,"Stewart, DJ","1328","13.6","0.310","0.345","0.300","0.655","0.487","0.522","0.362","9","29","93.7","13.8","2160","88.2","88.26","21","78","103","0.1","6.36","116","161","125","151","295","323","301"
"180",641531,"Dozier, Hunter","2076","8.7","0.310","0.286","0.367","0.595","0.409","0.337","0.246","13","42","88.0","8.2","2277","86.8","86.15","25","85","95","-0.7","6.10","108","152","121","147","304","324","297"
"180",650402,"Torres, Gleyber","2078","8.7","0.222","0.156","0.211","0.378","0.281","0.356","0.287","10","45","83.4","7.4","2179","87.8","87.94","26","90","90","0.1","6.43","103","153","120","147","304","325","286"
"179",573131,"Ruf, Darin","1377","13.0","0.313","0.281","0.389","0.594","0.436","0.411","0.273","10","32","96.4","14.1","2224","87.8","87.45","15","71","108","-0.4","6.36","108","155","123","148","305","325","296"
"178",600303,"La Stella, Tommy","1034","17.2","0.257","0.200","0.267","0.457","0.321","0.330","0.267","9","35","90.6","11.1","2266","89.1","89.04","7","72","106","-0.1","6.23","116","154","124","146","290","320","302"
"178",621563,"Wendle, Joey","1857","9.6","0.333","0.071","0.371","0.405","0.345","0.280","0.237","14","42","84.0","7.9","2182","88.1","88.21","17","85","93","0.1","6.39","115","149","108","150","289","323","302"
"178",527038,"Flores, Wilmer","1727","10.3","0.190","0.167","0.176","0.357","0.270","0.314","0.256","8","42","87.6","20.2","2290","86.8","86.40","13","85","93","-0.4","6.35","108","151","121","146","300","320","296"
"175",663898,"Rodgers, Brendan","1513","11.6","0.294","0.353","0.297","0.647","0.411","0.334","0.256","15","51","88.8","6.4","2198","87.7","87.53","27","99","76","-0.2","6.27","105","150","117","146","305","327","292"
"174",683734,"Vaughn, Andrew","1809","9.6","0.341","0.409","0.345","0.750","0.454","0.294","0.214","15","44","90.4","15.5","2232","87.7","87.75","23","90","84","0.1","6.29","104","153","119","147","303","324","289"
"171",572816,"Dickerson, Corey","1483","11.5","0.283","0.152","0.316","0.435","0.304","0.260","0.256","13","46","89.7","8.1","2157","90.0","89.96","22","101","70","0.0","6.37","112","150","114","150","294","322","301"
"171",542364,"Ortega, Rafael","1337","12.8","0.244","0.244","0.241","0.488","0.340","0.283","0.213","10","41","89.9","25.3","2240","88.2","88.60","16","77","94","0.4","6.44","112","151","112","152","288","322","300"
"169",452678,"Cabrera, Asdrúbal","1366","12.4","0.372","0.233","0.382","0.605","0.438","0.314","0.239","16","43","87.3","23.4","2165","89.6","89.79","18","92","77","0.2","6.44","109","155","127","148","300","324","301"
"169",543807,"Springer, George","1328","12.7","0.357","0.333","0.375","0.690","0.480","0.411","0.283","15","42","90.3","17.5","2174","88.8","88.98","23","81","88","0.2","6.35","105","152","121","146","301","327","293"
"168",669257,"Smith, Will","2080","8.1","0.270","0.378","0.292","0.649","0.420","0.345","0.212","10","37","93.3","30.3","2239","88.0","87.93","17","70","98","-0.1","6.22","104","153","121","147","304","325","295"
"168",595777,"Profar, Jurickson","1734","9.7","0.268","0.073","0.278","0.341","0.302","0.334","0.287","11","41","83.7","10.7","2248","87.6","87.00","13","77","91","-0.6","6.22","111","151","109","148","290","322","296"
"168",572191,"Taylor, Michael A.","2113","8.0","0.263","0.158","0.320","0.421","0.330","0.347","0.267","10","38","91.8","17.5","2194","88.4","87.96","27","91","77","-0.4","6.24","104","152","112","147","307","326","294"
"165",608369,"Seager, Corey","1397","11.8","0.255","0.078","0.302","0.333","0.285","0.307","0.264","13","51","89.6","16.8","2256","87.4","84.70","22","91","74","-2.7","6.23","115","156","137","150","301","326","307"
"164",608348,"Kelly, Carson","1473","11.1","0.189","0.297","0.160","0.486","0.318","0.355","0.239","7","37","86.8","16.7","2153","89.3","89.44","20","78","86","0.1","6.39","103","153","121","147","305","323","294"
"163",578428,"Iglesias, José","1858","8.8","0.209","0.116","0.222","0.326","0.257","0.310","0.292","9","43","85.4","4.3","2123","87.9","87.79","16","86","77","-0.1","6.21","105","152","113","147","304","318","289"
